1,Skyndu,1989,7317.96
2,Rooxo,2009,5319.0
3,Jaloo,2000,9042.07
4,Brainsphere,2006,5934.08
5,Vinte,2013,7076.07
6,Jaxnation,2010,684.32
7,Chatterbridge,1992,1594.79
8,Eimbee,1995,2723.07
9,Zoonder,2008,3539.76
10,Twitterwire,1994,8274.67
11,Fadeo,2002,2439.0
12,Jabbercube,1987,3951.17
13,Tanoodle,2007,401.62
14,Wordify,1991,490.39
15,Kimia,1994,79.77
16,Babblestorm,2003,1488.72
17,Skiptube,1999,5353.64
18,Yabox,2000,3243.67
19,Abata,2001,5795.98
20,Demizz,2007,7324.68
21,Gabcube,2013,6593.13
22,Skinte,2004,43.39
23,Yata,2005,5534.45
24,Avamba,2008,4910.59
25,Ailane,2003,8748.95
26,Topicstorm,1991,5001.24
27,Oyope,1999,4412.56
28,Plajo,2002,4737.56
29,Topicstorm,2005,8404.85
30,Wikivu,1995,5593.24
31,Abata,1965,8286.73
32,Eayo,2013,9722.9
33,Youfeed,1997,8560.93
34,Topicshots,2001,317.16
35,Gabvine,1998,1319.08
36,Aibox,2010,5305.04
37,Ozu,2001,8113.48
38,Twimbo,2012,9922.32
39,Devpulse,2007,2394.91
40,Jaloo,1998,453.65
41,Youspan,1999,5416.12
42,Meembee,2013,8687.81
43,Shufflebeat,1993,8992.7
44,Meevee,2004,8388.06
45,Brainbox,1990,3669.58
46,Brainlounge,2004,4522.43
47,Gabvine,2007,4667.89
48,Photofeed,2007,5472.43
49,Kwideo,1993,1597.3
50,Skipstorm,2007,61.48
51,Kwimbee,1995,2583.61
52,Zoomcast,2002,7288.65
53,Dazzlesphere,1996,8770.76
54,Browsezoom,2005,6244.92
55,Bluejam,1995,4524.78
56,Rhyzio,2010,1731.62
57,Dabfeed,1993,9699.47
58,Ooba,2013,1224.41
59,Photospace,2010,711.02
60,Tavu,1995,2986.72
61,Brainlounge,2008,3948.26
62,Eire,2012,4511.33
63,Devpoint,2011,8693.82
64,Photospace,1994,4640.49
65,Quaxo,2001,1306.29
66,Edgetag,1992,8503.87
67,Yacero,1984,6215.26
68,Buzzster,2013,8589.69
69,Pixoboo,1993,5122.64
70,Bluejam,2001,4779.11
71,Blognation,2005,7237.9
72,Jaxspan,2006,5910.82
73,Eabox,1998,1747.15
74,Riffwire,2003,294.29
75,DabZ,1990,7490.8
76,Flashdog,2008,9310.02
77,Dynazzy,2004,6270.75
78,Blogspan,2003,4362.9
79,Myworks,2003,9819.07
80,Realcube,1993,1839.93
81,Midel,2000,4869.61
82,Vimbo,2011,1796.42
83,Skipfire,1961,8132.46
84,Kaymbo,2000,9285.43
85,Yakidoo,1995,3228.21
86,Yotz,1997,9378.85
87,Trudoo,1989,6516.4
88,Edgepulse,1993,1070.59
89,Janyx,2003,9569.48
